"'SPI_pad_config_q ","'5 ","'6 ","'- ","'configures the SPII/O to a cer- tain pad ",
"'SPI_pad_config_d ","'5 ","'6 ","'- ","'configures the SPI I/O to a cer- tain pad ",
"'SPI_pad_config_csO ","'5 ","'6 ","'- ","'configures the SPI I/O to a cer- tain pad ",
"'flash_crypt_config ","'4 ","'10 ","'3 ","'governs flash encryption/ decryption ",
"'coding_scheme* ","'2 ","'10 ","'3 ","'controls the eFuse Controller ",
"'console_debug_disable ","'1 ","'15 ","'- ","'disables the ROM BASIC debug console fallback mode when set to 1 ",
"'abstract_done_0 ","'1 ","'12 ","'- ","'determines the status of Secure Boot ",
"'abstract_done_1 ","'1 ","'13 ","'- ","'determines the status of Secure Boot ",
"'JTAG_disable ","'1 ","'14 ","'- ","'disables access to the JTAG controllers so as to effectively disable external use of JTAG ",
"'download_dis_encrypt ","'1 ","'15 ","'- ","'governs flash encryption/ decryption ",
"'download_dis_decrypt ","'1 ","'15 ","'- ","'governs flash encryption/ decryption ",
"'download_dis_cache ","'1 ","'15 ","'- ","'disables cache when boot mode is the Download Mode ",
"'key_status ","'1 ","'10 ","'3 ","'determines whether BLOCK3 is deployed for user purposes ",
"'BLOCK1* ","'256/192/128 ","'7 ","'0 ","'governs flash encryption/ decryption ",
"'BLOCK2* ","'256/192/128 ","'8 ","'1 ","'key for Secure Boot ",
"'BLOCK3* ","'256/192/128 ","'9 ","'2 ","'key for user purposes ",
"'disable_app_cpu ","'1 ","'3 ","'- ","'disables APP CPU ",
"'disable_bt ","'1 ","'3 ","'- ","'disables Bluetooth ",
"'pkg_version ","'4 ","'3 ","'- ","'packaging version ",
"'disable_cache ","'1 ","'3 ","'- ","'disables cache ",
"'CK8M Frequency ","'8 ","'4 ","'- ","'RTC8M_CLK frequency ",
"'vol_level_hp_inv ","'2 ","'3 ","'- ","'stores the voltage level for CPU to run at 240 MHz, or for flash/PSRAM to run at 80 MHz ",
