"'No. ","'Name ","'Type 1 ","'Function ",
"'1 ","'3V3 ","'P ","'3.3 V power supply ",
"'2 ","'3V3 ","'P ","'3.3V power supply ",
"'3 ","'RST ","'I ","'EN ",
"'4 ","'4 ","'I/O/T ","'RTC_GPIO4, GPIO4, TOUCH4, ADC1_CH3 ",
"'5 ","'5 ","'I/O/T ","'RTC_GPIO5, GPIO5, TOUCH5, ADC1_CH4 ",
"'6 ","'6 ","'I/O/T ","'RTC_GPIO6, GPIO6, TOUCH6, ADC1_CH5 ",
"'7 ","'7 ","'I/O/T ","'RTC_GPIO7, GPIO7, TOUCH7, ADC1_CH6 ",
"'8 ","'15 ","'I/O/T ","'RTC_GPIO15, GPIO15, UORTS, ADC2_CH4, XTAL_32K_P ",
"'9 ","'16 ","'I/O/T ","'RTC_GPIO16, GPIO16, UOCTS, ADC2_CH5, XTAL_32K_N ",
"'10 ","'17 ","'I/O/T ","'RTC_GPIO17, GPIO17, U1TXD, ADC2_CH6 ",
"'11 ","'18 ","'I/O/T ","'RTC_GPIO18, GPIO18, U1RXD, ADC2_CH7, CLK_OUT3 ",
"'12 ","'8 ","'I/O/T ","'RTC_GPIO8, GPIO8, TOUCH8, ADC1_CH7, SUBSPICS1 ",
"'13 ","'3 ","'I/O/T ","'RTC_GPIO3, GPIO3, TOUCH3, ADC1_CH2 ",
"'14 ","'46 ","'I/O/T ","'GPIO46 ",
"'15 ","'9 ","'I/O/T ","'RTC_GPIO9, GPIO9, TOUCH9, ADC1_CH8, FSPIHD, SUBSPIHD ",
"'16 ","'10 ","'I/O/T ","'RTC_GPIO10, GPIO10, TOUCH10, ADC1_CH9, FSPICSO, FSPIIO4, SUBSPICSO ",
"'17 ","'11 ","'I/O/T ","'RTC_GPIO11, GPIO11, TOUCH11, ADC2_CHO, FSPID, FSPIIO5, SUBSPID ",
"'18 ","'12 ","'I/O/T ","'RTC_GPIO12, GPIO12, TOUCH12, ADC2_CH1, FSPICLK, FSPIIO6, SUBSPICLK ",
"'19 ","'13 ","'I/O/T ","'RTC GPIO13, GPIO13, TOUCH13, ADC2_CH2, FSPIQ, FSPIIO7, SUBSPIQ ",
"'20 ","'14 ","'I/O/T ","'RTC_GPIO14, GPIO14, TOUCH14, ADC2_CH3, FSPIWP, FSPIDQS, SUBSPIWP ",
"'21 ","'5V ","'P ","'5 V power supply ",
"'22 ","'G ","'G ","'Ground ",
