"'No. ","'Name ","'Type ","'Function ",
"'1 ","'G ","'G ","'Ground ",
"'2 ","'TX ","'I/O/T ","'UOTXD, GPIO43, CLK_OUT1 ",
"'3 ","'RX ","'I/O/T ","'UORXD, GPIO44, CLK_OUT2 ",
"'4 ","'1 ","'I/O/T ","'RTC_GPIO1, GPIO1, TOUCH1, ADC1_CHO ",
"'5 ","'2 ","'I/O/T ","'RTC_GPIO2, GPIO2, TOUCH2, ADC1_CH1 ",
"'6 ","'42 ","'I/O/T ","'MTMS, GPIO42 ",
"'7 ","'41 ","'I/O/T ","'MTDI, GPIO41, CLK_OUT1 ",
"'8 ","'40 ","'I/O/T ","'MTDO, GPIO40, CLK_OUT2 ",
"'9 ","'39 ","'I/O/T ","'MTCK, GPIO39, CLK_OUT3, SUBSPICS1 ",
"'10 ","'38 ","'I/O/T ","'GPIO38, FSPIWP, SUBSPIWP ",
"'11 ","'37 ","'I/O/T ","'SPIDQS, GPIO37, FSPIQ, SUBSPIQ ",
"'12 ","'36 ","'I/O/T ","'SPIIO7, GPIO36, FSPICLK, SUBSPICLK ",
"'13 ","'35 ","'I/O/T ","'SPIIO6, GPIO35, FSPID, SUBSPID ",
"'14 ","'o ","'I/O/T ","'RTC_GPIO0, GPIOO ",
"'15 ","'45 ","'I/O/T ","'GPIO45 ",
"'16 ","'48 ","'I/O/T ","'GPIO48, SPICLK_N,SUBSPICLK_N_DIFF, RGB LED ",
"'17 ","'47 ","'I/O/T ","'GPIO47, SPICLK_P,SUBSPICLK_P_DIFF ",
"'18 ","'21 ","'I/O/T ","'RTC_GPIO21, GPIO21 ",
"'19 ","'20 ","'I/O/T ","'RTC_GPIO20, GPIO20, U1CTS, ADC2_CH9, CLK_OUT1, USB_D+ ",
"'20 ","'19 ","'I/O/T ","'RTC_GPIO19, GPIO19, U1RTS, ADC2_CH8, CLK_OUT2, USB_D- ",
"'21 ","'G ","'G ","'Ground ",
"'22 ","'G ","'G ","'Ground ",
