"'","'0.5 ","'""Seven ","'precision ","'","'op-ampa ","'gompe ","'RN Offset ","'low Voltage ","'vortage) ","'","'","'Noise ","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'Supply ","'Input ","'Current -25°C ","'","'Vos ","'typ ","'AVos max ","'0 ","'Vepp ","'on 1kHz ","'In* 1kHz ","'GBW ","'Slew ","'31 ","'","'","'Swing to Supply ","'","'Cost 25 ","'",
"'","'Part # - ","'Range (v) ","'10 (mA) ","'typ (pA) ","'max (pA) ","'typ (IV) ","'max (am ","'(EX) ","',VV, ","'min dB ","'dcb (V) ","'ov ","'","'typ (MHz) ","'typ (V/us) ","'(us) ","'98 ","'Cin pF ","'IN OUT ","'","'qty ($US) ","'Comments ",
"'","'LVbipolar LT6003 1,2,4 ","'1.5-18 ","'0.001 ","'40 ","'140 ","'175 ","'500 ","'2 ","'5 ","'73 ","'3 ","'325 ","'12 ","'0.003 ","'0.001 ","'slow ","'- ","'6 ","'","'","'1.60 ","'SOT-23, 6004 dual ",
"'","'EL8176 1 ","'2.4-6 ","'0.055 ","'0.5 nA ","'2nA ","'25 ","'100 ","'0.7 ","'- ","'90 ","'1.5 ","'28 ","'160 ","'0.4 ","'0.13 ","'","'","'- ","'. ","'","'2.30 ","'SOT-23, charge pump ",
"'","'LMP7731 1,2 ","'1.8-6 ","'2.2 ","'1.5nA ","'30nA ","'6 ","'500 ","'0.5 ","'5.5 ","'101 ","'0.08 ","'2.9 ","'1100 ","'22 ","'2.4 ","'","'. ","'- ","'. ","'","'1.98 ","'SOT-23, 3nV/Hz ",
"'","'LT6220 ","'1.2.4 2.2-13 ","'0.9 ","'15nA ","'150nA ","'70 ","'350 ","'1.5 ","'5 ","'85 ","'0.5 ","'10 ","'800 ","'60 ","'20 ","'0.3 ","'- ","'2 ","'. ","'","'1.75 ","'SOT-23 ",
"'","'LT6230 ","'1,2,4 3-12.6 ","'3.3 ","'5A ","'10A ","'100 ","'500 ","'0,5 ","'3 ","'96 ","'0.18 ","'1.1 ","'2400 ","'215 ","'70 ","'0.05 ","'","'7 ","'","'","'2.72 ","'-10=decomp, 1.3GHz ",
"'","'LVJEET ","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'OPA656 1 ","'9-13 ","'14 ","'2 ","'20 ","'250 ","'1800 ","'2 ","'12 ","'80 ","'","'7 ","'1.3 ","'230 ","'290 ","'0.02 ","'","'2.8 ","'","'","'5.59 ","''657 for 1.6GHz G>5 ",
"'","'LVCMOS ","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'LMP2232A 1,2,4 ","'1.8-6 ","'0.01 ","'0.02 ","'1 ","'10 ","'150 ","'0.3 ","'0.75 ","'81 ","'2.3 ","'60 ","'0.1° ","'0.13 ","'0.06 ","'slow ","'","'","'","'","'3.29 ","''31 single, '34 quad ",
"'","'TSV611A 1,2 ","'1.8-6 ","'0.01 ","'1 ","'10 ","'- ","'800 ","'2 ","'","'61 ","'","'105 ","'","'0.12 ","'0.04 ","'","'","'","'","'","'0.82 ","''612 dual ",
"'","'AD8603 1,2,4 ","'1.8-6 ","'0.04 ","'0.2 ","'1 ","'12 ","'50 ","'1 ","'4.5 ","'85 ","'2.3 ","'25 ","'50 ","'0.4 ","'0.1 ","'23 ","'","'23 ","'","'","'1.36 ","'SOT-23, 1pA ",
"'","'LTC6078 2,4 ","'2.7-6 ","'0.055 ","'0.2 ","'1 ","'7 ","'25 ","'0.2 ","'0.7 ","'95 ","'1 ","'18 ","'0,25° ","'0.75 ","'0.05 ","'24 ","'","'18 ","'","'","'3.54 ","'Vos degrades near V+ ",
"'","'LTC6081 2,4 ","'2.7-6 ","'0.33 ","'0.2 ","'1 ","'. ","'70 ","'0.2 ","'0.8 ","'93 ","'1.3 ","'13 ","'0.5 ","'3.6 ","'1 ","'6 ","'. ","'7 ","'","'","'4.75 ","'degrade Vcm>Vcc-1.5V ",
"'","'MAX4236A 1 ","'2.4-6 ","'0.35 ","'1 ","'500 ","'5 ","'20 ","'0.6 ","'2 ","'84 ","'0.2 ","'14 ","'0.6 ","'1.7 ","'0.3 ","'1 ","'. ","'7.5 ","'","'","'1.78 ","'not AZ, '4237 decomp ",
"'","'LMC6482A 2,4 ","'3-16 ","'0.5 ","'0.02 ","'4 ","'110% ","'750 ","'1 ","'- ","'70 ","'","'37 ","'30 ","'1.5 ","'1.3 ","'- ","'- ","'3 ","'","'","'1.88 ","''7101=SOT-23 ",
"'","'OPA376 1,2,4 ","'2.2-7 ","'0.76 ","'0.2 ","'10 ","'5 ","'25 ","'0.26 ","'1 ","'76 ","'0.8 ","'7.5 ","'0.25C ","'5.5 ","'2 ","'2 ","'. ","'13 ","'","'","'1.32 ","'CMOS etrim™ ",
